GEOID,state.name,county.name,totalpop,medincome,medage,education.total,education.bachelors,education.gradprofess,mortgage.total,mortgage.40to49pct,mortgage.50pctplus,healthins.male.18to24.total,healthins.male.18to24.coverage,healthins.male.18to24.nocoverage,healthins.female.18to24.total,healthins.female.18to24.coverage,healthins.female.18to24.nocoverage,healthins.male.25to34.total,healthins.male.25to34.coverage,healthins.male.25to34.nocoverage,healthins.female.25to34.total,healthins.female.25to34.coverage,healthins.female.25to34.nocoverage,pct.ed.collegegrad,pct.mortgage40plus,pct.mortgage50plus
01099,Alabama,Monroe County,21745,26036,41.7,14794,1079,764,5006,207,394,985,703,282,727,565,162,870,538,332,1102,780,322,12.458,12.006,7.871
01079,Alabama,Lawrence County,33288,43779,42,23370,1671,709,10443,383,688,1186,1002,184,1417,1243,174,1864,1314,550,1675,1260,415,10.184,10.256,6.588
01081,Alabama,Lee County,156597,47564,31,92452,18261,13961,34932,1028,1771,14610,12408,2202,14349,12780,1569,9247,7439,1808,9725,8136,1589,34.853,8.013,5.07
01093,Alabama,Marion County,30058,35719,44.1,21406,1784,1094,9421,222,444,1245,905,340,1201,946,255,1410,1111,299,1423,1194,229,13.445,7.069,4.713
01107,Alabama,Pickens County,20170,36220,42.1,14241,1248,431,5615,82,228,871,592,279,760,582,178,1052,862,190,874,659,215,11.79,5.521,4.061
01119,Alabama,Sumter County,13084,21663,35.9,8244,872,630,3274,97,251,1172,670,502,1277,924,353,402,350,52,611,411,200,18.219,10.629,7.666
01073,Alabama,Jefferson County,659460,49321,37.6,447048,86862,55817,164199,5480,11953,30350,23563,6787,30724,25344,5380,39157,29430,9727,44697,37904,6793,31.916,10.617,7.28
01023,Alabama,Choctaw County,13188,32122,45.8,9449,745,355,4379,49,141,514,342,172,461,301,160,545,393,152,653,557,96,11.641,4.339,3.22
01059,Alabama,Franklin County,31507,39501,37.7,20734,1722,1056,7942,114,366,1723,1266,457,1410,947,463,1768,1429,339,1590,1233,357,13.398,6.044,4.608
01091,Alabama,Marengo County,19743,32255,42.1,13557,1315,774,5689,292,344,788,477,311,592,397,195,1007,638,369,1132,991,141,15.409,11.179,6.047
01113,Alabama,Russell County,58480,38988,35.3,38710,4092,2444,13368,584,845,2493,1644,849,2599,1816,783,3515,2534,981,4120,3312,808,16.885,10.69,6.321
01019,Alabama,Cherokee County,25855,40041,46.1,18797,1237,1107,8435,230,343,1049,809,240,914,678,236,983,862,121,1109,952,157,12.47,6.793,4.066
01039,Alabama,Covington County,37519,39467,43.4,26416,2740,1359,11476,313,586,1448,800,648,1397,995,402,1803,1493,310,1969,1622,347,15.517,7.834,5.106
01041,Alabama,Crenshaw County,13866,38937,41.4,9588,1143,419,3805,94,206,655,459,196,544,428,116,558,378,180,677,532,145,16.291,7.884,5.414
01047,Alabama,Dallas County,40755,30065,39.3,26849,2181,1628,9755,286,556,1785,1058,727,1913,1382,531,1963,1364,599,2294,1727,567,14.187,8.631,5.7
01077,Alabama,Lauderdale County,92590,44888,41.5,63168,8710,5520,26430,643,1382,5131,4037,1094,5729,4878,851,4594,3355,1239,4659,3450,1209,22.527,7.662,5.229
01085,Alabama,Lowndes County,10362,29785,40.7,7065,671,300,3163,106,213,456,382,74,473,363,110,538,390,148,587,573,14,13.744,10.085,6.734
01087,Alabama,Macon County,19358,32308,38,12280,1332,1134,5079,109,366,1452,1284,168,1745,1619,126,931,555,376,920,776,144,20.081,9.352,7.206
01083,Alabama,Limestone County,91695,52831,39.1,63026,10410,5084,24979,666,1146,3467,2395,1072,3422,2786,636,5039,3420,1619,5265,4128,1137,24.584,7.254,4.588
01117,Alabama,Shelby County,208721,74063,38.5,141263,39369,20290,61189,1660,3726,8269,6888,1381,8165,7122,1043,11102,8927,2175,12477,10999,1478,42.233,8.802,6.089
01115,Alabama,St. Clair County,86937,53483,40.1,60248,6366,3277,26116,787,1554,3465,2823,642,3410,2608,802,4433,3856,577,4773,4201,572,16.006,8.964,5.95
01133,Alabama,Winston County,23968,35362,44.6,17255,1354,876,7295,90,438,892,584,308,738,603,135,1168,920,248,1173,924,249,12.924,7.238,6.004
01003,Alabama,Baldwin County,203360,52562,42.6,143022,29237,14731,55470,1968,4030,7596,5693,1903,7622,6129,1493,9494,6534,2960,10134,8020,2114,30.742,10.813,7.265
01043,Alabama,Cullman County,81703,40997,40.6,56720,5409,3048,23271,511,1495,3358,2620,738,3357,2541,816,4475,3097,1378,4361,3200,1161,14.91,8.62,6.424
01051,Alabama,Elmore County,80989,54981,38.5,55278,7983,4646,21245,686,1074,3163,2643,520,3478,3087,391,3813,2832,981,4833,4102,731,22.846,8.284,5.055
01069,Alabama,Houston County,104108,42803,39.6,71238,9418,5485,25570,763,1515,4022,3055,967,4286,3368,918,5769,3967,1802,6359,5261,1098,20.92,8.909,5.925
01071,Alabama,Jackson County,52326,39281,43,37016,3192,1764,14992,298,744,2137,1611,526,1888,1603,285,2393,1408,985,2629,1865,764,13.389,6.95,4.963
01121,Alabama,Talladega County,80888,39219,40.6,56103,4620,2986,22859,634,1266,3143,2328,815,3378,2677,701,3971,2982,989,4645,3558,1087,13.557,8.312,5.538
01125,Alabama,Tuscaloosa County,204424,50513,32.3,125145,23230,14595,44920,1547,3046,17041,14296,2745,16018,13560,2458,12685,10189,2496,13228,11783,1445,30.225,10.225,6.781
01129,Alabama,Washington County,16746,42185,43.5,11607,785,453,4946,128,264,684,568,116,570,501,69,772,607,165,795,655,140,10.666,7.926,5.338
01027,Alabama,Clay County,13407,37287,43.8,9455,562,408,4082,85,278,430,357,73,606,498,108,444,326,118,700,432,268,10.259,8.893,6.81
01031,Alabama,Coffee County,51073,49821,39.3,34736,5111,2766,12822,266,489,1982,1276,706,2126,1512,614,2539,1981,558,2634,2103,531,22.677,5.888,3.814
01103,Alabama,Morgan County,119157,47529,40.1,82094,11822,5320,32858,767,1865,4664,3273,1391,4529,3560,969,6475,4674,1801,6529,4823,1706,20.881,8.01,5.676
01109,Alabama,Pike County,33287,35684,31.4,19657,2930,1930,7277,139,341,3692,3118,574,3574,3230,344,1585,1260,325,2026,1810,216,24.724,6.596,4.686
01021,Alabama,Chilton County,43805,43501,38.9,29697,2809,1675,12625,304,818,1801,1197,604,2018,1408,610,2381,1344,1037,2391,1768,623,15.099,8.887,6.479
01033,Alabama,Colbert County,54435,45477,42.5,38423,4403,2804,16009,309,1019,2326,1869,457,2072,1799,273,2598,2005,593,3082,2631,451,18.757,8.295,6.365
01037,Alabama,Coosa County,10955,34792,45.9,8117,611,281,3377,127,276,456,273,183,436,375,61,319,206,113,536,389,147,10.989,11.934,8.173
01045,Alabama,Dale County,49393,44711,37.1,33288,3688,1899,11237,245,585,1547,927,620,1960,1556,404,2545,1773,772,3037,2381,656,16.784,7.386,5.206
01065,Alabama,Hale County,14995,34679,39.8,10161,1008,456,4241,125,305,632,464,168,600,491,109,638,519,119,769,506,263,14.408,10.139,7.192
01055,Alabama,Etowah County,103132,42064,40.9,71745,7435,4684,28096,777,1410,4232,3264,968,4212,3514,698,5340,3724,1616,5560,4284,1276,16.892,7.784,5.019
01049,Alabama,DeKalb County,71194,38842,39,47694,3638,2564,18155,484,591,3004,1972,1032,2947,2111,836,3871,2536,1335,3806,2420,1386,13.004,5.921,3.255
01053,Alabama,Escambia County,37621,35026,39.6,25896,1956,1190,9490,182,380,1528,931,597,1267,955,312,1817,1389,428,1876,1441,435,12.149,5.922,4.004
01075,Alabama,Lamar County,14021,36016,44.5,9938,880,437,4560,70,138,468,316,152,490,335,155,604,572,32,723,524,199,13.252,4.561,3.026
01111,Alabama,Randolph County,22530,39485,42.7,15594,1415,854,6448,74,365,914,676,238,1042,733,309,1004,690,314,906,718,188,14.55,6.808,5.661
01013,Alabama,Butler County,20126,36326,40.7,13958,1342,911,4940,159,352,847,668,179,878,605,273,955,707,248,1109,842,267,16.141,10.344,7.126
01097,Alabama,Mobile County,414328,45802,37.3,275878,42066,21479,102051,3197,7022,18605,13849,4756,20218,15986,4232,22440,16349,6091,26049,20114,5935,23.034,10.014,6.881
01035,Alabama,Conecuh County,12649,30434,44.5,8772,458,310,3658,41,229,558,359,199,453,149,304,622,390,232,399,268,131,8.755,7.381,6.26
01105,Alabama,Perry County,9680,22973,37.6,5858,512,479,2287,38,290,669,376,293,720,517,203,280,175,105,314,175,139,16.917,14.342,12.68
01127,Alabama,Walker County,64927,38872,42.3,45197,3014,1996,19019,400,864,2700,2055,645,2687,2195,492,3333,2288,1045,3316,2547,769,11.085,6.646,4.543
01029,Alabama,Cleburne County,14939,37396,41.7,10387,807,476,4296,164,340,566,443,123,490,365,125,647,475,172,750,548,202,12.352,11.732,7.914
01063,Alabama,Greene County,8533,20954,42,5830,486,177,2058,11,191,469,381,88,317,273,44,404,248,156,420,287,133,11.372,9.815,9.281
01005,Alabama,Barbour County,26201,33368,39.7,18434,1403,815,5745,125,295,924,578,346,985,797,188,1359,951,408,1287,981,306,12.032,7.311,5.135
01007,Alabama,Bibb County,22580,43404,39.8,15859,1289,808,5212,139,169,888,771,117,849,795,54,1377,1187,190,1101,883,218,13.223,5.909,3.243
01011,Alabama,Bullock County,10478,29655,40.8,7377,485,505,2570,43,80,485,316,169,444,271,173,527,286,241,387,282,105,13.42,4.786,3.113
01015,Alabama,Calhoun County,115527,43686,39.1,78975,8092,6021,31295,833,1476,5441,4100,1341,5256,4433,823,6027,4236,1791,6910,5757,1153,17.87,7.378,4.716
01017,Alabama,Chambers County,33895,37342,43,23698,2131,1027,9103,278,637,1617,1102,515,1585,1121,464,1618,1157,461,1664,1289,375,13.326,10.052,6.998
01025,Alabama,Clarke County,24625,33827,42.2,16921,1422,771,6336,88,320,1051,734,317,1068,738,330,1098,898,200,1243,869,374,12.96,6.439,5.051
01057,Alabama,Fayette County,16657,36541,43.6,11715,1178,534,5345,152,197,651,505,146,676,539,137,843,693,150,751,665,86,14.614,6.529,3.686
01101,Alabama,Montgomery County,227120,46545,35.9,149318,28898,19265,53063,2154,3323,11387,8273,3114,12315,9729,2586,13295,9432,3863,14921,11743,3178,32.255,10.322,6.262
01095,Alabama,Marshall County,94738,41104,38.8,63248,7353,3859,24437,617,1621,4329,2677,1652,3979,2980,999,5067,3260,1807,4860,3022,1838,17.727,9.158,6.633
01009,Alabama,Blount County,57667,47412,40.9,39475,3416,1756,16246,401,738,2484,1973,511,2171,1761,410,2874,2137,737,3047,2479,568,13.102,7.011,4.543
01067,Alabama,Henry County,17110,45569,43.5,12123,1087,987,5531,116,348,720,428,292,562,432,130,604,424,180,822,756,66,17.108,8.389,6.292
01089,Alabama,Madison County,353213,61318,38.2,239756,60410,36912,96031,2229,4689,16552,13159,3393,16994,14116,2878,20988,16448,4540,21516,17096,4420,40.592,7.204,4.883
01001,Alabama,Autauga County,55036,55317,37.8,36757,5316,3860,15430,501,870,2413,1879,534,2180,1705,475,2801,2417,384,3122,2579,543,24.964,8.885,5.638
01123,Alabama,Tallapoosa County,40756,42181,43.3,28609,3474,1736,11763,205,795,1888,1421,467,1532,1311,221,1703,1354,349,2080,1512,568,18.211,8.501,6.758
01061,Alabama,Geneva County,26572,39293,42.7,18666,1407,669,7873,230,361,969,579,390,1034,746,288,1194,771,423,1309,942,367,11.122,7.507,4.585
01131,Alabama,Wilcox County,10919,27012,40.5,7242,578,290,2388,55,101,497,255,242,515,296,219,410,240,170,539,400,139,11.986,6.533,4.229
02150,Alaska,Kodiak Island Borough,13773,74167,33.1,8968,1374,785,2679,113,158,581,399,182,505,375,130,1096,650,446,917,671,246,24.074,10.116,5.898
